,Find,Gender,Age,Name,MissingDay,Location,Description,IMG
0,포메라니언 , 암컷 , 6살 , 이름(이브),2022-09-13,전라북도 김제시 용지면 용지면사무소 근처,"전체적으로 황색인데 가슴,배쪽은 흰털 사람 엄청 좋아함 눈 주위가 하얗고 아이라인이 안되어있음 코가 조금 까져있음 발바닥이 핑크색임 중성화x",http://www.angel.or.kr/report/dog/upImg/1663134014_1691989909.jpg
1,이탈리언 그레이하운드 , 암컷 , 6살 , 이름(세모),2022-09-01,충청남도 아산시 아산 은행나무길 / 삽교회전교차로,얼룩무늬 그레이하운드과 휘펫 노락색옷입고있습니다 사슴같이 말랐습니다,http://www.angel.or.kr/report/dog/upImg/1663133960_1103541810.jpg
2,진돗개 , 암컷 , 1살미만 , 이름(알콩이),2022-09-13,경기도 남양주시 중흥s클래스 2206동 주차장,"겁많음, 성인남자트라우마, 소리예민, 큰움직임 예민",http://www.angel.or.kr/report/dog/upImg/1663050987_90116681.jpg
3,믹스견(진도 믹스 아이보리색상) , 수컷 , 5살 , 이름(까불이),2022-09-10,경기도 고양시 일산동구 성석동 빅토리아 골프연습장 인근,몸 길이 80cm 중성화 안됨 심장사상충 약 복용으로 입과 코 주변이 하얀색임 목줄도 풀고 나간 상태임,http://www.angel.or.kr/report/dog/upImg/1662919927_51890540.jpg
4,믹스견(말티즈+시츄) , 암컷 , 9살 , 이름(코코),2022-09-02,경기도 수원시 팔달구 수원월드메르디앙- 수원월드컵 경기장,속눈썹이 엄청 길어요,http://www.angel.or.kr/report/dog/upImg/1662265543_1244353871.jpg
5,진돗개 , 암컷 , 3살 , 이름(미니),2022-09-02,서울특별시 강서구 우장산공원터널부근,베이지색깔 반접힌귀 앞다리 반 흰색 꼬리 끝 흰색,http://www.angel.or.kr/report/dog/upImg/1662160930_210393226.jpg
6,기타견종(보더콜리 진도견 믹스) , 암컷 , 5살 , 이름(콜리),2022-09-02,충청북도 진천군 진천읍 신정리 문화3길 천호빌라 103동307호,겁이 많다 사람 경계많이함 크기는 중형견,http://www.angel.or.kr/report/dog/upImg/1662129968_42514950.jpg
7,믹스견(비글 요크셔 혼종) , 수컷 , 6살 , 이름(은솔),2022-09-01,서울특별시 강서구 허준 박물관 인근,크림빛누렁이주둥이 검정/늘씬하고 길죽한 몸/겁이많아경계심이많음/최근미용빡빡이/독특한하울링/수컷 중성화/삑삑이 인형소리 좋아함,http://www.angel.or.kr/report/dog/upImg/1662061766_843913228.jpg
8,셔틀랜드 쉽독 , 수컷 , 6살 , 이름(지니),2022-08-24,전라남도 고흥군 두원면 용반리 벧엘수양관 부근,소심하고 겁이 많아요.인식칩 목걸이 착용. 노랑색 오리발모양 펜던트 착용.전화번호 기재돼있어요.,http://www.angel.or.kr/report/dog/upImg/1661832491_923487898.jpg
9,기타견종(그레이트피레니즈) , 수컷 , 1살 , 이름(조이),2022-08-20,경기도 양주시 회암동 옥정숲속어린이집 근처,하얀색 털갈이 중으로 모종이 풍성하지 않습니다. 몸무게 50kg 이상이고 내장인식칩이 있고 이름표나 목걸이는 없습니다. 순하고 사람을 좋아합니다.,http://www.angel.or.kr/report/dog/upImg/1661209998_595405618.jpg
10,제퍼니즈 스피츠 , 수컷 , 7살 , 이름(망고),2022-08-22,대구광역시 중구 남산역부근 남산동극동스타클래스 부근,눈물자국있고 22년 8월 10일에 미용해서 잃어버릴 당시 털이 짧은편 낯선 사람도 잘 따르는편이고 에너지 넘치는 활발한 성격 중성화 되어 있는 수컷이고 전체 흰색인데 귀부분 자세히 보면 노르스름함,http://www.angel.or.kr/report/dog/upImg/1661145382_1689398709.jpg
11,믹스견 , 암컷 , 3살 , 이름(예삐),2022-08-14,전라남도 강진군 월남저수지.달빛한옥마을.상월마을 주변,하얀색털이며 믹스견 5키로정도 나가는 작은아이입니다 겁이 많고 사람을 좋아합니다,http://www.angel.or.kr/report/dog/upImg/1660695621_1370174061.jpg
12,퍼그 , 암컷 , 6살 , 이름(난이),2022-08-09,서울특별시 마포구 성산1동. 하나로 골프부근.,퍼그이며 10키로 여자. 옷.목줄등.아무것도 착용하고 있지않았으며 체구에 비해 다리가 날씬한 체형입니다. 내장칩 없는 상태입니다 알러지 있는 아이라 얼릉찿아 약을먹여야합니다.,http://www.angel.or.kr/report/dog/upImg/1660315430_1096386921.jpg
13,진돗개 , 암컷 , 4살 , 이름(김정은),2022-08-09,경기도 남양주시 진건읍 경춘북로 문화마을 입구,"뒷목에 마이크로칩 삽입 아이보리 색 단모, 호박색 눈 출산 1회 경험 꼬리가 등쪽으로 말려 있음 중장년층 남성을 경계함 배와 엉덩이쪽 털이 뭉쳐있음 미간을 가로지르는 세로선 있음 검은색+연한 갈색 섞인 코",http://www.angel.or.kr/report/dog/upImg/1660040540_789934192.jpg
14,믹스견 , 수컷 , 4살 , 이름(로니),2022-08-03,경기도 고양시 덕양구 화정고양경찰서 부근,"갈색털이고, 배색은흰색털이 섞여있습니다 성격은 순해요 발부분은 하얗고 귀가 덮여있어요 현재 목줄을 차고있지않아요!ㅠ 무게는7~8kg입니다 중성화했습니다",http://www.angel.or.kr/report/dog/upImg/1659591110_981258011.jpg
15,미니어처 푸들 , 수컷 , 7살 , 이름(이까미),2022-09-16,전라북도 전주시 덕진구 하가지구 더 루벤스 아파트 정문 맞은편 세븐일레븐 뒷쪽,블랙푸들. 겁이 많음.사람 좋아함.이름 부르면 알아들음.분홍색목줄 착용.칩박혀 있음.,http://www.angel.or.kr/report/dog/upImg/1663286631_199574377.jpg
16,믹스견(진도믹스) , 수컷 , 2살 , 이름(은하),2022-09-14,경기도 고양시 덕양구 원흥동 쿠팡센터 근처 (유진문화센터 부근),"1. 갈색에 주둥이와 귀는 검은색 2. 검은색 목줄착용 (빨간색 하트모양 펜턴트, 방울달림) 3. 겁이 엄청많음 (으르렁, 짖음, 입질, 낑낑댐 전혀 없음) 4. 자동차, 개짖는소리 들으면 놀라서 도망감",http://www.angel.or.kr/report/dog/upImg/1663226457_519738372.jpg
17,토이 푸들 , 암컷 , 10살 , 이름(뽀송이),2022-09-14,서울특별시 서대문구 서대문구 북가좌제1동 거북골로21길,오른쪽 다리에 트러블 하나가 나 있습니다.,http://www.angel.or.kr/report/dog/upImg/1663210338_1952180685.jpg
18,포메라니언 , 암컷 , 6살 , 이름(이브),2022-09-13,전라북도 김제시 용지면 용지면사무소 근처,"전체적으로 황색인데 가슴,배쪽은 흰털 사람 엄청 좋아함 눈 주위가 하얗고 아이라인이 안되어있음 코가 조금 까져있음 발바닥이 핑크색임 중성화x",http://www.angel.or.kr/report/dog/upImg/1663134014_1691989909.jpg
